feature,development_median,development_robust_scale,development_missing_rate,current_median,current_missing_rate,median_shift_robust_units,warning
expected_gap_days,30.0,17.049899999999997,0.0,41.0,0.0,0.6451650742819607,False
gap_dispersion_days,5.9304,4.39620552,0.0,9.636899999999999,0.0,0.8431134493457438,False
personalized_window_days,36.0,20.7564,0.0,49.0,0.0,0.6263128480854098,False
cadence_cv,0.22809230769230768,0.12882653538461536,0.0,0.2426072727272727,0.0,0.11267061550347661,False
cadence_trend_ratio,1.0,0.21180000000000007,0.0,1.0,0.0,0.0,False
current_gap_days,23.0,11.8608,0.0,33.0,0.0,0.8431134493457441,False
gap_ratio,0.717948717948718,0.14585494505494506,0.0,0.7819548872180451,0.0,0.4388344135004496,False
window_progress,0.6,0.12509437499999995,0.0,0.6451612903225806,0.0,0.36101775417624227,False
successful_orders_180d,5.0,2.9652,0.0,4.0,0.0,-0.3372453797382976,False
successful_orders_365d,8.0,4.4478,0.0,7.0,0.0,-0.22483025315886507,False
average_order_value_180d,93.12,51.008853,0.0,89.14500000000001,0.0,-0.07792764914749199,False
margin_180d,89.48,65.619876,0.0,63.86,0.0,-0.3904304848122542,False
average_discount_180d,0.16978,0.04778419799999997,0.0,0.16647499999999998,0.0,-0.06916512442042042,False
failure_rate_180d,0.0,1e-09,0.0,0.0,0.0,0.0,False
category_diversity_180d,3.0,1.4826,0.0,2.0,0.0,-0.6744907594765952,False
customer_tenure_days,322.0,200.15099999999998,0.0,649.0,0.0,1.6337665062877529,False
