feature,mean_pr_auc_decrease,std_pr_auc_decrease
window_progress,0.1794740990456461,0.005937277422899632
current_gap_days,0.11375240949599812,0.004610233556883975
expected_gap_days,0.05487925960323503,0.0040828109178918945
failure_rate_180d,0.05340671877366097,0.006237535819313659
cadence_cv,0.00783526895233939,0.0019106498864171614
personalized_window_days,0.007273723181710157,0.001993459037578565
successful_orders_365d,0.006591295505905914,0.0013684058019397735
successful_orders_180d,0.004300798902114278,0.0017690921927641537
gap_dispersion_days,0.002257080850331672,0.0012891921067039113
gap_ratio,0.0019486029974308706,0.0007983547476707846
average_discount_180d,0.0015316020535345754,0.000573921350121172
cadence_trend_ratio,0.0008276460879884651,0.0008594432614486253
margin_180d,0.00012805631992311993,0.00018605713820688506
average_order_value_180d,9.534143715377308e-05,3.633495625044367e-05
category_diversity_180d,-2.355145433248218e-05,1.5913746073694193e-05
customer_tenure_days,-0.00018824358690012756,0.0008278841796179086
