customer_key,score_date,personalized_deadline,personalized_window_days,estimated_margin_next_180d,contact_eligible,churn_probability,value_at_risk,risk_rank,value_at_risk_rank
f7695af504455342c2a2cb85,2026-06-30,2026-07-01,18.0,418.032,True,0.823853193252431,344.39699808170025,4.0,1.0
8a7b7e04df41d10d7b1e21e6,2026-06-30,2026-07-01,19.0,471.4451612903226,True,0.7089099495927984,334.21216552609127,56.0,2.0
6ba4d2765c5a35539094920b,2026-06-30,2026-07-09,28.0,523.9224489795919,True,0.6157905667651494,322.62650179812795,146.0,3.0
71119059bf468f4db188e28b,2026-06-30,2026-07-03,40.0,468.4422857142857,True,0.664270326679508,311.172310161924,91.0,4.0
62b67283cb8a33b55e1404f6,2026-06-30,2026-07-03,13.0,604.4636363636364,True,0.5144178178674647,310.9468647984145,302.0,5.0
0220b0387fb3e845c87636ed,2026-06-30,2026-07-08,24.0,590.6257839721254,True,0.4880554441890349,288.25812934601265,348.0,6.0
5edc445963ad2d300ba8b08a,2026-06-30,2026-07-05,17.0,577.4741379310345,True,0.4824639984964586,278.61048161450236,361.0,7.0
858b85f0ee760c9a72ff9b4e,2026-06-30,2026-07-06,21.0,586.393388429752,True,0.4691549098115836,275.1093372628692,381.0,8.0
cc7a6b7d9f0bf20b3920261f,2026-06-30,2026-07-07,27.0,505.3108695652175,True,0.518344991559658,261.9253584197861,293.0,9.0
f2be914cfee416ea82f81b4e,2026-06-30,2026-07-03,14.0,354.99130434782614,True,0.699753946074569,248.40656603954963,61.0,10.0
7756e7418fb6f752e5e644b6,2026-06-30,2026-07-10,26.0,456.63896103896104,True,0.5439215107294318,248.37575354622984,260.0,11.0
45cb8f2e24df1d0a127ca1a8,2026-06-30,2026-07-01,12.0,421.17894736842106,True,0.5737862713176624,241.66669776802428,207.0,12.0
024344d09fde30e3a1a7bd97,2026-06-30,2026-07-04,24.0,394.6888888888889,True,0.6046114396615894,238.63341732954422,162.0,13.0
a5337845fc500cbf0794c8e1,2026-06-30,2026-07-03,13.0,378.98,True,0.6215214438963746,235.54419680784807,138.0,14.0
9b1103f4f26f201c8f6eb3d5,2026-06-30,2026-07-06,25.0,312.79999999999995,True,0.7495811658158401,234.46898866719476,28.0,15.0
f0bfdc1c7557eb95caba42ec,2026-06-30,2026-07-03,21.0,293.44864864864866,True,0.7646275458048262,224.37892003595894,23.0,16.0
0df9789e90bf6ce9f1a8b723,2026-06-30,2026-07-09,21.0,445.0594594594594,True,0.4846215125553449,215.68538842030742,353.0,17.0
96c34d8168a0b2197d129613,2026-06-30,2026-07-06,20.0,418.078125,True,0.5140458714700846,214.91133410820396,303.0,18.0
617c57a5929970e389375331,2026-06-30,2026-07-05,15.0,582.8584980237155,True,0.3670544239363699,213.94079022851267,610.0,19.0
310c35ef77b8716737a859f8,2026-06-30,2026-07-04,14.0,391.1372307692307,True,0.5375585754401688,210.25917257392024,273.0,20.0
2e1d0520a7b1caccde5f5b96,2026-06-30,2026-07-03,27.0,324.24615384615385,True,0.6342769143966753,205.66184996652814,121.0,21.0
d7fde88a0293d820d16813c5,2026-06-30,2026-07-02,21.0,288.08235294117645,True,0.6903663827453086,198.8823719327573,73.0,22.0
6febb47fce303e6fe6c91b08,2026-06-30,2026-07-06,24.0,295.3988372093023,True,0.6590734728839137,194.68953752540475,93.0,23.0
4537efb7424df43d32243e98,2026-06-30,2026-07-09,27.0,354.24642857142857,True,0.5455407616071724,193.25586643947793,255.0,24.0
0407c2e7d472e6e87fce19b7,2026-06-30,2026-07-06,21.0,382.54628571428566,True,0.49158534344275556,188.05414724560762,342.0,25.0
059da344ec5b2327860d7f97,2026-06-30,2026-07-05,14.0,436.40668896321074,True,0.42244804512064826,184.35915263008317,475.0,26.0
2e429470e3f71095b268c08a,2026-06-30,2026-07-04,36.0,255.79938461538458,True,0.7205995747303368,184.328927770128,44.0,27.0
b9d68a39dc32c4a4bc8a7720,2026-06-30,2026-07-11,48.0,225.1448275862069,True,0.8104137313195918,182.4604598114441,10.0,28.0
3a421606f3e2851a548ed77e,2026-06-30,2026-07-12,60.0,349.1,True,0.5205121555709326,181.71079350981256,292.0,29.0
6b2ae6fc8bc63d643bea27cd,2026-06-30,2026-07-01,12.0,345.9,True,0.5232855230108172,181.00446240944166,290.0,30.0
fc44977f64e8b28efeaafbe8,2026-06-30,2026-07-06,30.0,286.20000000000005,True,0.6308783710723064,180.5573898008941,129.0,31.0
4668200ab42b303181479e53,2026-06-30,2026-07-05,34.0,212.52244897959184,True,0.8478820364547257,180.19396683316188,2.0,32.0
78d03bda3277e22c719f9d66,2026-06-30,2026-07-03,22.0,281.5457142857143,True,0.6205121976636101,174.70254991419947,140.0,33.0
7dc40512d7d71beb17d9fcd3,2026-06-30,2026-07-08,38.0,218.475,True,0.7941234582821673,173.4961225481965,13.0,34.0
c58b84e1866b17bc934a53d8,2026-06-30,2026-07-01,29.0,254.7535714285714,True,0.6765069299669528,172.34255650525967,81.0,35.0
27ad6e53b5fc26eb35c7f98d,2026-06-30,2026-07-11,41.0,309.7774647887324,True,0.5489409286257334,170.0495291884522,244.0,36.0
bde436eb631a4cb652d7e4be,2026-06-30,2026-07-05,14.0,445.4473846153847,True,0.38055139089441803,169.51562178566545,580.0,37.0
d955c09d55447d82ab814300,2026-06-30,2026-07-01,26.0,212.08295454545456,True,0.7824219963183777,165.9383686805543,16.0,38.0
c9443dc4cd69828260412a29,2026-06-30,2026-07-06,24.0,235.79999999999995,True,0.6974007709816044,164.44710179746227,66.0,39.0
a6ac83d14b85868f13aa1539,2026-06-30,2026-07-08,47.0,255.80224719101122,True,0.6425199594223114,164.3580494853046,111.0,40.0
96d595476e62ce09233068ff,2026-06-30,2026-07-14,48.0,223.07837837837837,True,0.7276246505955547,162.31732712299052,41.0,41.0
973dd656cf374978e2bd861b,2026-06-30,2026-07-02,10.0,252.38,True,0.6358485401862869,160.47545457221509,120.0,42.0
42aff2831cda450598d164ed,2026-06-30,2026-07-02,14.0,295.20000000000005,True,0.5411023148193987,159.73340333468653,266.0,43.0
66682987d0a7dedd9a97065b,2026-06-30,2026-07-09,24.0,397.1179487179487,True,0.4008985434667128,159.20400722551437,525.0,44.0
ad9b7e9f4a83044e028b7a2e,2026-06-30,2026-07-21,74.0,514.6048780487805,True,0.3045956282262724,156.7463961175726,768.0,45.0
f9aacc5de35af5965d9bc5e8,2026-06-30,2026-07-05,16.0,446.5234285714286,True,0.3394559381449166,151.57502934939896,677.0,46.0
98e234e83df617d4dce35c43,2026-06-30,2026-07-07,19.0,356.3325,True,0.42489570327920967,151.40414818873896,468.0,47.0
e3d37aff586d1ce735ba670d,2026-06-30,2026-07-04,12.0,463.68199445983373,True,0.3250575281392093,150.72332296177208,717.0,48.0
675b4e8656a5913acac5cd53,2026-06-30,2026-07-01,17.0,211.85000000000002,True,0.7106614994268309,150.55363865357413,54.0,49.0
fafc978c74bb7a21a807fa40,2026-06-30,2026-07-11,29.0,271.6107816711591,True,0.5475343373385858,148.7162293563334,251.0,50.0
a004b97a66d6b53bb854ba2a,2026-06-30,2026-07-01,23.0,202.29230769230767,True,0.7345299949705888,148.58976775181955,38.0,51.0
2697eb39ad383afae0a55e5a,2026-06-30,2026-07-05,26.0,180.47812499999998,True,0.8195521710257455,147.91123916640586,6.0,52.0
a2430bea5bc1f44d06fd2036,2026-06-30,2026-07-11,19.0,657.8614285714287,True,0.22040145174525846,144.99361390435254,944.0,53.0
5a3117c68c90231557b805f9,2026-06-30,2026-07-02,29.0,185.456,True,0.7790604684391368,144.48143823484855,17.0,54.0
56507c1f2cc121fca468b830,2026-06-30,2026-07-19,53.0,242.20689655172418,True,0.5955553788272987,144.24762003044646,178.0,55.0
7f86d5fe86b758c239f1ad96,2026-06-30,2026-07-06,34.0,233.32881355932204,True,0.6096021100766401,142.23773708744167,154.0,56.0
de9874a6e25a5b2a12270dcc,2026-06-30,2026-07-05,24.0,279.0675,True,0.5014042079469546,139.92561880123677,326.0,57.0
02b9b354f9aca2e2f2624d95,2026-06-30,2026-07-05,34.0,219.49411764705883,True,0.6332846425239983,139.0022538302381,125.0,58.0
84d86298af61c164e22ed4ec,2026-06-30,2026-07-13,26.0,358.8461538461538,True,0.3855092231471455,138.33850199857181,563.0,59.0
f78bddd493044392d73844e7,2026-06-30,2026-07-11,26.0,215.50857142857143,True,0.6410228375486845,138.1459159732062,113.0,60.0
b4f188f7f69823447c65038b,2026-06-30,2026-07-04,15.0,332.6400000000001,True,0.41086107578279857,136.66882824839016,502.0,61.0
47e51e4f6558035c72a78dc8,2026-06-30,2026-07-05,28.0,211.62115384615387,True,0.6441356299966545,136.31272525331127,105.0,62.0
1890f4d35e9bb6cd823c9f68,2026-06-30,2026-07-01,14.0,167.07115384615386,True,0.8110508538503208,135.5032019806814,9.0,63.0
06c28a8ebe86d2002c23ea34,2026-06-30,2026-07-08,28.0,272.11071428571427,True,0.49700895388968624,135.24146144931814,331.0,64.0
6c3f156edc68e0ee4bf35ebc,2026-06-30,2026-07-02,15.0,210.93,True,0.6371853127738727,134.40149802339297,116.0,65.0
cebf425a053a72a9c614961b,2026-06-30,2026-07-05,16.0,318.3066666666667,True,0.41662872873219187,132.6157018803149,486.0,66.0
ddbe2b1eac80ebbdefc2d059,2026-06-30,2026-07-11,24.0,340.1372093023256,True,0.385073306929395,130.9777599957823,565.0,67.0
343f4dfc94740291324ec416,2026-06-30,2026-07-05,27.0,214.70801393728226,True,0.6094510508644722,130.8540247231004,155.0,68.0
9a1f1bcf7e395e24771c0e09,2026-06-30,2026-07-02,9.0,265.3363636363636,True,0.4892064296628589,129.80425511427146,347.0,69.0
e77e8a7af30dc894ce2f06b4,2026-06-30,2026-07-02,15.0,215.55371900826447,True,0.5985627583799012,129.02242862863292,168.0,70.0
b2f228d9ac6bdf9bc1d9e06e,2026-06-30,2026-07-14,45.0,177.58461538461538,True,0.7186852854668458,127.62745000221233,46.0,71.0
f923700474d50dbd6e0f59c3,2026-06-30,2026-08-04,91.0,205.8710059171598,True,0.6093315067036901,125.44369022210728,157.0,72.0
adf694a9044dab2f15428c26,2026-06-30,2026-07-05,14.0,361.35,True,0.344182758605906,124.37043982224415,665.0,73.0
06319d70e5d83485904d6384,2026-06-30,2026-07-05,20.0,185.59636363636363,True,0.6694793758260706,124.25293768286116,89.0,74.0
ae9a5b2c87c18fcfd8f01760,2026-06-30,2026-07-07,31.0,195.76363636363635,True,0.6277566748200653,122.89192941432077,131.0,75.0
2a8759b57dab6b6e097332ee,2026-06-30,2026-07-05,11.0,454.9235294117647,True,0.263171604454221,119.72295513927112,878.0,76.0
2c1bdbbaf9d748fdb0348c91,2026-06-30,2026-07-06,16.0,361.8272727272727,True,0.3264311002367716,118.11167473203405,712.0,77.0
a2de868401ea78406ede23ab,2026-06-30,2026-07-03,19.0,193.89374999999995,True,0.607074244922536,117.70790187644894,159.0,78.0
066fc07a31b2583c6ae52775,2026-06-30,2026-07-05,30.0,164.625,True,0.7112890175855192,117.09595452001611,52.0,79.0
78b35d0447a03aa9360b5cbe,2026-06-30,2026-07-03,36.0,152.4089552238806,True,0.766166105393127,116.77057565091609,22.0,80.0
db60e77eb078cfc9eef0dd06,2026-06-30,2026-07-08,70.0,241.8099173553719,True,0.4662604632371973,112.74640408146409,384.0,81.0
f52e9cb761f05b8dd2a35678,2026-06-30,2026-07-11,31.0,227.09454545454548,True,0.49636616330467165,112.7220482346911,333.0,82.0
d74094ad5184de4dfac91f9c,2026-06-30,2026-07-04,11.0,305.01473684210526,True,0.368453703408716,112.38380938370862,607.0,83.0
9cccdc926af06bb811822ec1,2026-06-30,2026-07-09,32.0,210.78461538461542,True,0.5312795802079758,111.98556197583812,280.0,84.0
860c7eb9cadf08f116237bf5,2026-06-30,2026-07-06,20.0,231.32,True,0.4794019590401181,110.89526116516012,366.0,85.0
0be8513e898e2ee10e5a130b,2026-06-30,2026-07-14,28.0,398.5823708206687,True,0.27495017682358114,109.59029333590505,842.0,86.0
1036d33e7c1e9b69dbb05b8b,2026-06-30,2026-07-03,56.0,169.63738317757006,True,0.6359780642825854,107.88565458323423,119.0,87.0
f417ae77c12ab1e1043facfe,2026-06-30,2026-07-26,56.0,247.61538461538467,True,0.4312701111787355,106.7891144526423,455.0,88.0
7dd6f253627ea9a800944977,2026-06-30,2026-07-06,42.0,144.325,True,0.7387089561046911,106.61417008980953,35.0,89.0
6faeed2b2a1c4b6c3d630bb2,2026-06-30,2026-07-10,38.0,191.7747692307692,True,0.5536048287542342,106.16743827938278,233.0,90.0
c662bf70813f1b7fdc25d51f,2026-06-30,2026-07-11,33.0,271.7111111111111,True,0.38996555931323695,105.95797541606551,550.0,91.0
040d15680d009c11a273c918,2026-06-30,2026-07-03,21.0,170.11285714285717,True,0.6204286675752225,105.54289329455705,141.0,92.0
4b27cbf0056a39c60f67e8a2,2026-06-30,2026-07-01,17.0,129.0,True,0.8163629255767373,105.31081739939911,7.0,93.0
970381d685adf616beb65124,2026-06-30,2026-07-02,43.0,142.61830985915495,True,0.736461191008301,105.03285033846417,36.0,94.0
be76bf5eac063e67195ff08f,2026-06-30,2026-07-04,35.0,182.69694915254237,True,0.5736571125536765,104.80540432321331,208.0,95.0
f63426395de94182ab66de6d,2026-06-30,2026-07-08,22.0,317.02702702702703,True,0.32981183307079537,104.55926491676837,700.0,96.0
f46ab42d6ba0dbf09590b6c6,2026-06-30,2026-07-05,19.0,149.89371428571428,True,0.6955259195004717,104.25496345591242,68.0,97.0
989d79d7d226b5a0240236d6,2026-06-30,2026-07-08,25.0,224.41081081081083,True,0.46350027506673963,104.01447253876088,391.0,98.0
896e3649c7c867f1902fa19f,2026-06-30,2026-07-03,23.0,159.66,True,0.6452778049860312,103.02505434406973,104.0,99.0
508eaafd6c1a963b4965a1e4,2026-06-30,2026-07-08,28.0,196.36800000000002,True,0.5112858995144285,100.4001895158493,308.0,100.0
2469ec23a0f17d75dbda9871,2026-06-30,2026-07-01,16.0,136.68571428571428,True,0.7326112538381271,100.13749252461714,40.0,101.0
fc7fd0cad8b1c3fbaace66d9,2026-06-30,2026-07-11,56.0,178.62127659574472,True,0.559998042973025,100.02756532696044,224.0,102.0
2f72215f3a8fbb7311a90de6,2026-06-30,2026-07-10,34.0,181.1715254237288,True,0.5504455240082708,99.72505524724217,241.0,103.0
4ac20cc26cc0524c0b6709a7,2026-06-30,2026-07-15,30.0,254.7238095238095,True,0.38717299451602394,98.62218010786262,556.0,104.0
fb2fc925450e1efcbcbdf3d8,2026-06-30,2026-07-05,44.0,137.24430379746838,True,0.7114664978471519,97.6447241722554,51.0,105.0
756fb9f0ca94cda82ca674b9,2026-06-30,2026-07-05,20.0,181.36799999999997,True,0.537953649205805,97.56757744915842,271.0,106.0
eb98e9619c3aedd0f40904ea,2026-06-30,2026-07-07,16.0,320.17500000000007,True,0.3025834289767431,96.87964937262875,778.0,107.0
d481e0515afa068a1180edaa,2026-06-30,2026-07-26,55.0,188.42474226804126,True,0.5122988130017911,96.52977180408595,305.0,108.0
add7d63f85ba90140a4655b2,2026-06-30,2026-07-04,29.0,151.3259475218659,True,0.6295623336652588,95.26911666597239,130.0,109.0
813fa5c1c2bc67e86ef16a53,2026-06-30,2026-07-12,62.0,149.47272727272727,True,0.6367685919670756,95.17953808293323,117.0,110.0
9fb97cad4ac1353deef57eb3,2026-06-30,2026-07-08,25.0,172.1182724252492,True,0.5513387664486767,94.89547600221418,240.0,111.0
dddf349f402f790a390b2d1b,2026-06-30,2026-07-09,26.0,217.78928571428568,True,0.43019882219102806,93.69269420011099,456.0,112.0
bb147aa79ea9e56cdae4c008,2026-06-30,2026-07-16,44.0,129.78333333333333,True,0.7166869428900228,93.01402040474345,47.0,113.0
7e34e027006754796fd8d232,2026-06-30,2026-07-09,36.0,180.0,True,0.5161401557376503,92.90522803277705,298.0,114.0
1080f12d5ef5ffd8713bef29,2026-06-30,2026-07-02,29.0,115.26666666666667,True,0.8058661522179957,92.88950514566098,11.0,115.0
da1eb0c5c6b6258b8f1e065e,2026-06-30,2026-07-08,21.0,404.9464285714285,True,0.2274201076162104,92.09296036451433,936.0,116.0
003fb713c3c95c156f97cfd6,2026-06-30,2026-07-08,24.0,199.98461538461535,True,0.4563858148351748,91.27014164680672,400.0,117.0
d9d24146d75a22c221680a26,2026-06-30,2026-07-04,15.0,165.26538461538462,True,0.5521400871325131,91.24964386152675,237.0,118.0
1db7cde8931aedc0a961bece,2026-06-30,2026-07-22,57.0,173.73333333333332,True,0.5235789741972776,90.96312045054036,289.0,119.0
080ae7f3b022b4ac3a4529bb,2026-06-30,2026-07-05,25.0,141.07792207792204,True,0.6439061178935624,90.84093712568529,106.0,120.0
6c855e050d4d70d46efcb3b2,2026-06-30,2026-07-13,52.0,190.5063157894737,True,0.4758274613321167,90.6481366098398,372.0,121.0
d0bb84338c13278d9945f0de,2026-06-30,2026-07-19,46.0,329.46999999999997,True,0.27420965136012626,90.34385383362078,843.0,122.0
93c307ddd51251aed8c5a066,2026-06-30,2026-07-03,24.0,145.935,True,0.6153345799722262,89.79885192824683,148.0,123.0
68ee5a48d427ef18a6bcaa63,2026-06-30,2026-07-08,17.0,217.68750000000003,True,0.41227208584285696,89.74647968691694,500.0,124.0
04fd0f7726d02ba2d44553eb,2026-06-30,2026-07-08,24.0,185.14418604651163,True,0.48436760503063425,89.67784598069501,355.0,125.0
05d4cf3a85882655f283be12,2026-06-30,2026-07-02,29.0,151.91124620060788,True,0.5899333960594444,89.61751737074698,185.0,126.0
a053e6442d0713c33d07f766,2026-06-30,2026-07-02,19.0,119.29764705882351,True,0.7452074486756717,88.90149519771661,30.0,127.0
674214e72b2b528921e53626,2026-06-30,2026-07-04,41.0,147.69126760563378,True,0.6009470103241337,88.75462571858719,165.0,128.0
14827dee16f0586efa45081f,2026-06-30,2026-07-10,45.0,139.47567567567566,True,0.6331211421142483,88.30499908094025,126.0,129.0
9bbefc491e530796af2effc0,2026-06-30,2026-07-04,13.0,173.71363636363634,True,0.5059369955163137,87.88815526203162,316.0,130.0
2acfd76b6f221513ea4209f5,2026-06-30,2026-07-12,34.0,199.30645161290326,True,0.43971672329437567,87.63837983465486,436.0,131.0
da58f910a803adc4ad3e4144,2026-06-30,2026-07-13,37.0,122.98378378378379,True,0.7082119333702085,87.09858328669722,57.0,132.0
517813955f809a4f490a4fac,2026-06-30,2026-07-06,29.0,178.79999999999998,True,0.4859317717274483,86.88460078486774,352.0,133.0
76e1943c5bf991a73f08b3a0,2026-06-30,2026-07-04,38.0,170.31724137931033,True,0.5081738133989955,86.55076203932131,312.0,134.0
