customer_id,score_date,personalized_deadline,personalized_window_days,estimated_margin_next_180d,churned_in_personal_window,churn_probability,value_at_risk,risk_rank,value_at_risk_rank
C002122,2026-05-20,2026-05-22,10.0,1105.6973684210527,1,0.5447131428513241,602.2878885950701,638.0,1.0
C002716,2026-06-03,2026-06-06,15.0,1079.9060869565217,0,0.5453535337238488,588.9306006116329,633.0,2.0
C000488,2026-04-08,2026-04-09,13.0,826.2288770053475,1,0.6222978962462256,514.1604919783092,342.0,3.0
C000795,2026-02-11,2026-02-12,14.0,682.6125000000002,1,0.747022191934352,509.926685991788,65.0,4.0
C002699,2026-04-08,2026-04-09,26.0,618.1714285714285,1,0.7502052371293343,463.75544315800784,62.0,5.0
C003879,2026-06-03,2026-06-04,14.0,747.8171428571428,0,0.6161984766151218,460.8037842152443,362.0,6.0
C002082,2026-06-17,2026-06-18,12.0,626.790476190476,1,0.6633081948523574,415.75525931255413,223.0,7.0
C003706,2026-06-17,2026-06-23,16.0,1132.9344,0,0.35212318932654274,398.93247422575314,1841.0,8.0
C003284,2026-05-06,2026-05-09,16.0,457.2,1,0.8524184532109258,389.72571680803526,2.0,9.0
C001456,2026-05-06,2026-05-09,14.0,632.8591304347826,0,0.6144840948655544,388.8818699426193,370.0,10.0
C000519,2026-05-06,2026-05-10,14.0,923.9345454545453,1,0.3952539240280717,365.1887546360018,1547.0,11.0
C003080,2026-05-06,2026-05-13,29.0,552.2352941176471,1,0.6472422299571056,357.43000322572396,264.0,12.0
C001555,2026-06-17,2026-06-18,12.0,500.78571428571433,1,0.706962571341852,354.03675626269467,124.0,13.0
C003453,2026-04-22,2026-04-23,9.0,536.3458646616542,0,0.6281400325968199,336.90030891174104,320.0,14.0
C003374,2026-06-17,2026-06-18,14.0,464.1832775919733,1,0.7128256227201876,330.88173390579607,118.0,15.0
C000404,2026-06-17,2026-06-18,21.0,554.2875,1,0.5664804052312028,313.99300761459034,543.0,16.0
C003981,2026-06-17,2026-06-21,17.0,549.0646153846153,1,0.5616121738719801,308.3613722423365,569.0,17.0
C003788,2026-05-20,2026-05-21,9.0,513.8142857142857,0,0.5936851481405895,305.04391033103684,445.0,18.0
C002710,2026-06-03,2026-06-11,20.0,719.5527272727272,0,0.423806171794615,304.9508867498292,1338.0,19.0
C000538,2026-03-25,2026-03-29,19.0,394.961142857143,1,0.7644065814448069,301.9108970149627,52.0,20.0
C002191,2026-03-25,2026-03-29,34.0,439.02,0,0.687326342061994,301.75001069205655,160.0,21.0
C003495,2026-02-11,2026-02-14,14.0,591.8809364548496,0,0.506225048734181,299.6249559016889,825.0,22.0
C003602,2026-05-20,2026-05-26,26.0,499.31052631578933,0,0.5986415884028309,298.9080465799376,420.0,23.0
C001567,2026-05-20,2026-05-23,25.0,415.17209302325585,1,0.7184860962405899,298.2953763843141,111.0,24.0
C002581,2026-05-20,2026-05-24,10.0,1093.1563636363637,0,0.27282702743384835,298.2426012113041,2426.0,25.0
C003439,2026-06-17,2026-06-20,15.0,546.8478260869565,0,0.5449134674494461,297.98474508023514,635.0,26.0
C003412,2026-06-03,2026-06-10,19.0,458.3781818181818,0,0.6499790798421362,297.9362288378932,252.0,27.0
C003199,2026-06-17,2026-06-21,18.0,541.7585253456223,0,0.5447170839895176,295.10512415272854,637.0,28.0
